Common Name,Scientific Name,Family,Genus
red maple,Acer rubrum L.,Sapindaceae,Acer
prairie fleabane,Erigeron strigosus Muhl.exWilld.,Asteraceae,Erigeron
Virginia creeper,Parthenocissus quinquefolia (L.)Planch.,Vitaceae,Pathenocissus
black cherry,Prunus serotina Ehrh.,Rosaceae,Prunus
Allegheny blackberry,Rubus allegheniensis Porter,Rosaceae,Rubus
roundleaf greenbrier,Smilax rotundifolia L.,Smilacaceae,Simlax
blackhaw,Viburnum prunifolium L.,Adoxaceae,Viburnum
American hornbeam,Carpinus caroliniana Walt.,Betulaceae,Carpinus
western brackenfern,Pteridium aquilinum (L.)Kuhn,Dennstaedtiaceae,Pteridium
starved panicgrass,Dichanthelium depauperatum (Muhl.)Gould,Poaceae,Dichanthelium
saltmeadow cordgrass,Spartina patens (Ait.)Muhl.,Poaceae,Spartina
marsh blue violet,Viola cucullata Ait.,Violaceae,Viola
smooth rockcress,Arabis laevigata (Muhl.exWilld.)Poir.,Brassicaceae,Arabis
butterfly milkweed,Asclepias tuberosa L.,Apocynaceae,Asclepias
smooth yellow false foxglove,Aureolaria flava (L.)Farw.,Orobanchaceae,Aureolaria
American bittersweet,Celastrus scandens L.,Celastraceae,Celastrus
scaldweed,Cuscuta gronovii Willd.exJ.A.Schultes,Cuscutaceae,Cuscuta
eastern hayscented fern,Dennstaedtia punctilobula (Michx.)T.Moore,Dennstaedtiaceae,Dennstaedtia
American burnweed,Erechtites hieraciifolius (L.) Raf. ex DC.,Asteraceae,Erechtites
Virginia strawberry,Fragaria virginiana Duchesne,Rosaceae,Fragaria
licorice bedstraw,Galium circaezans Michx.,Rubiaceae,Galium
fragrant bedstraw,Galium triflorum Michx.,Rubiaceae,Galium
spotted geranium,Geranium maculatum L.,Geraniaceae,Geranium
cream avens,Geum virginianum L.,,
American witchhazel,Hamamelis virginiana L.,,
rough hawkweed,Hieracium scabrum Michx.,,
eastern redcedar,Juniperus virginiana L.,,
mountain laurel,Kalmia latifolia L.,,
Canada lettuce,Lactuca canadensis L.,,
trailing lespedeza,Lespedeza procumbens Michx.,,
Indian-tobacco,Lobelia inflata L.,,
trumpet honeysuckle,Lonicera sempervirens L.,,
partridgeberry,Mitchella repens L.,,
common evening-primrose,Oenothera biennis L.,,
switchgrass,Panicum virgatum L.,,
American lopseed,Phryma leptostachya L.,,
climbing false buckwheat,Polygonum scandens L.,,
Christmas fern,Polystichum acrostichoides (Michx.)Schott,,
Carolina rose,Rosa carolina L.,,
wreath goldenrod,Solidago caesia L.,,
early blue violet,Viola palmata L.,,
fox grape,Vitis labrusca L.,,
white wood aster,Eurybia divaricata (L.)Nesom,,
flat-top goldentop,Euthamia graminifolia (L.)Nutt.,,
parasol sedge,Carex umbellata SchkuhrexWilld.,,
marginal woodfern,Dryopteris marginalis (L.)Gray,,
red fescue,Festuca rubra L.,,
black huckleberry,Gaylussacia baccata (Wangenh.)K.Koch,,
,,,
,,,
,,,
,,,
