"","ListID","SpeciesID","Freq"
"1","cumberland","Abies balsamea",595
"2","cumberland","Acer pensylvanicum",8
"3","cumberland","Acer rubrum",1782
"4","cumberland","Acer saccharinum",1
"5","cumberland","Acer saccharum",73
"6","cumberland","Acer spicatum",2
"7","cumberland","Agrostis perennans",1
"8","cumberland","Agrostis scabra",1
"9","cumberland","Alnus incana",1
"10","cumberland","Amblystegium serpens",2
"11","cumberland","Amblystegium varium",1
"12","cumberland","Ambrosia artemisiifolia",1
"13","cumberland","Amelanchier spicata",1
"14","cumberland","Anacamptodon splachnoides",2
"15","cumberland","Andreaea rupestris",1
"16","cumberland","Andromeda polifolia",1
"17","cumberland","Anemone virginiana",1
"18","cumberland","Anomodon attenuatus",1
"19","cumberland","Antennaria plantaginifolia",1
"20","cumberland","Apocynum androsaemifolium",2
"21","cumberland","Aquilegia canadensis",3
"22","cumberland","Argemone mexicana",1
"23","cumberland","Arisaema triphyllum",1
"24","cumberland","Athyrium filix-femina",1
"25","cumberland","Atrichum altecristatum",1
"26","cumberland","Atrichum angustatum",2
"27","cumberland","Atrichum crispulum",4
"28","cumberland","Atrichum crispum",1
"29","cumberland","Atrichum tenellum",1
"30","cumberland","Atrichum undulatum",4
"31","cumberland","Aulacomnium palustre",4
"32","cumberland","Barbula unguiculata",5
"33","cumberland","Betula alleghaniensis",101
"34","cumberland","Betula lenta",21
"35","cumberland","Betula papyrifera",257
"36","cumberland","Betula populifolia",110
"37","cumberland","Bidens cernua",1
"38","cumberland","Bidens frondosa",1
"39","cumberland","Bidens tripartita",1
"40","cumberland","Bolboschoenus maritimus",2
"41","cumberland","Botrychium virginianum",1
"42","cumberland","Brachyelytrum aristosum",1
"43","cumberland","Brachythecium campestre",3
"44","cumberland","Brachythecium oedipodium",1
"45","cumberland","Brachythecium plumosum",2
"46","cumberland","Brachythecium populeum",1
"47","cumberland","Brachythecium reflexum",2
"48","cumberland","Brachythecium rivulare",1
"49","cumberland","Brachythecium rotaeanum",2
"50","cumberland","Brachythecium rutabulum",5
"51","cumberland","Brachythecium velutinum",1
"52","cumberland","Brotherella recurvans",1
"53","cumberland","Bryhnia novae-angliae",8
"54","cumberland","Bryum argenteum",3
"55","cumberland","Bryum lisae",2
"56","cumberland","Bryum pseudotriquetrum",1
"57","cumberland","Bucklandiella sudetica",2
"58","cumberland","Bulbostylis capillaris",2
"59","cumberland","Calamagrostis canadensis",1
"60","cumberland","Callicladium haldanianum",5
"61","cumberland","Calliergon cordifolium",4
"62","cumberland","Calopogon tuberosus",2
"63","cumberland","Caltha palustris",1
"64","cumberland","Campylium chrysophyllum",1
"65","cumberland","Carex annectens",1
"66","cumberland","Carex bebbii",1
"67","cumberland","Carex conoidea",1
"68","cumberland","Carex cryptolepis",1
"69","cumberland","Carex debilis",2
"70","cumberland","Carex deweyana",1
"71","cumberland","Carex flava",1
"72","cumberland","Carex folliculata",1
"73","cumberland","Carex gynandra",1
"74","cumberland","Carex houghtonii",1
"75","cumberland","Carex lasiocarpa",1
"76","cumberland","Carex lenticularis",4
"77","cumberland","Carex lupulina",1
"78","cumberland","Carex lurida",1
"79","cumberland","Carex merritt-fernaldii",1
"80","cumberland","Carex novae-angliae",1
"81","cumberland","Carex pauciflora",1
"82","cumberland","Carex prasina",1
"83","cumberland","Carex projecta",1
"84","cumberland","Carex scabrata",1
"85","cumberland","Carex scoparia",3
"86","cumberland","Carex stipata",1
"87","cumberland","Carex viridula",1
"88","cumberland","Carex vulpinoidea",2
"89","cumberland","Carpinus caroliniana",17
"90","cumberland","Ceratodon purpureus",4
"91","cumberland","Chamaedaphne calyculata",1
"92","cumberland","Chenopodium capitatum",1
"93","cumberland","Chiloscyphus rivularis",1
"94","cumberland","Cicuta maculata",1
"95","cumberland","Cladium mariscoides",2
"96","cumberland","Clematis virginiana",2
"97","cumberland","Climacium dendroides",2
"98","cumberland","Comptonia peregrina",2
"99","cumberland","Conyza canadensis",1
"100","cumberland","Coptis trifolia",1
"101","cumberland","Cornus canadensis",1
"102","cumberland","Cornus rugosa",1
"103","cumberland","Cornus sericea",1
"104","cumberland","Corylus americana",1
"105","cumberland","Crataegus crus-galli",1
"106","cumberland","Crataegus jonesiae",1
"107","cumberland","Crataegus macrosperma",1
"108","cumberland","Cypripedium acaule",1
"109","cumberland","Cystopteris bulbifera",1
"110","cumberland","Dalibarda repens",1
"111","cumberland","Danthonia compressa",1
"112","cumberland","Dennstaedtia punctilobula",2
"113","cumberland","Dichanthelium acuminatum",1
"114","cumberland","Dichanthelium latifolium",1
"115","cumberland","Dichanthelium xanthophysum",5
"116","cumberland","Dichelyma capillaceum",3
"117","cumberland","Dicranella heteromalla",3
"118","cumberland","Dicranum bonjeanii",1
"119","cumberland","Dicranum drummondii",1
"120","cumberland","Dicranum fulvum",3
"121","cumberland","Dicranum majus",1
"122","cumberland","Dicranum montanum",2
"123","cumberland","Dicranum ontariense",2
"124","cumberland","Dicranum polysetum",5
"125","cumberland","Dicranum scoparium",7
"126","cumberland","Dicranum viride",1
"127","cumberland","Diervilla lonicera",1
"128","cumberland","Diphyscium foliosum",3
"129","cumberland","Distichlis spicata",1
"130","cumberland","Ditrichum lineare",1
"131","cumberland","Ditrichum pusillum",2
"132","cumberland","Doellingeria umbellata",1
"133","cumberland","Drepanocladus uncinatus",1
"134","cumberland","Dryopteris cristata",1
"135","cumberland","Elymus pycnanthus",1
"136","cumberland","Ephemerum serratum",1
"137","cumberland","Epigaea repens",1
"138","cumberland","Epilobium ciliatum",1
"139","cumberland","Equisetum arvense",1
"140","cumberland","Equisetum hyemale",1
"141","cumberland","Equisetum sylvaticum",1
"142","cumberland","Eriophorum viridicarinatum",1
"143","cumberland","Erythronium americanum",1
"144","cumberland","Eupatorium perfoliatum",1
"145","cumberland","Eupatorium purpureum",1
"146","cumberland","Eurhynchium riparioides",1
"147","cumberland","Euthamia caroliniana",1
"148","cumberland","Fagus grandifolia",516
"149","cumberland","Fallopia japonica",1
"150","cumberland","Fallopia scandens",1
"151","cumberland","Fissidens bryoides",1
"152","cumberland","Fontinalis antipyretica",1
"153","cumberland","Fontinalis dalecarlica",2
"154","cumberland","Fontinalis hypnoides",1
"155","cumberland","Fontinalis novae-angliae",3
"156","cumberland","Fontinalis sullivantii",1
"157","cumberland","Fraxinus americana",215
"158","cumberland","Fraxinus nigra",12
"159","cumberland","Glyceria borealis",1
"160","cumberland","Glyceria canadensis",1
"161","cumberland","Glyceria obtusa",1
"162","cumberland","Glyceria striata",1
"163","cumberland","Grimmia muehlenbeckii",2
"164","cumberland","Hamamelis virginiana",1
"165","cumberland","Hedeoma pulegioides",1
"166","cumberland","Hedwigia ciliata",2
"167","cumberland","Hepatica nobilis",1
"168","cumberland","Herzogiella striatella",2
"169","cumberland","Herzogiella turfacea",1
"170","cumberland","Honckenya peploides",1
"171","cumberland","Huperzia lucidula",1
"172","cumberland","Hygroamblystegium fluviatile",4
"173","cumberland","Hygroamblystegium tenax",6
"174","cumberland","Hygrohypnum ochraceum",8
"175","cumberland","Hylocomium splendens",2
"176","cumberland","Hypericum mutilum",1
"177","cumberland","Hypnum cupressiforme",2
"178","cumberland","Hypnum imponens",7
"179","cumberland","Hypnum lindbergii",3
"180","cumberland","Hypnum pallescens",4
"181","cumberland","Ilex laevigata",2
"182","cumberland","Ilex verticillata",1
"183","cumberland","Impatiens noli-tangere",1
"184","cumberland","Ionactis linariifolia",1
"185","cumberland","Isoetes echinospora",1
"186","cumberland","Isoetes tuckermanii",1
"187","cumberland","Juncus acuminatus",1
"188","cumberland","Juncus bufonius",1
"189","cumberland","Juncus dichotomus",1
"190","cumberland","Juncus effusus",1
